full_name,a,e,i,om,w,q,ad,H,diameter,ma,E_rad,E_deg
(2001 SZ269),2.36,0.6649,2.46,98.93,191.18,0.791,3.93,19.82,,68.72,1.8402910583801186,105.44091072084416
(2001 SE270),1.214,0.4817,5.41,357.23,107.51,0.629,1.8,25.1,,134.02999999999997,2.5912031638092112,148.4650051472139
(2001 SH276),1.028,0.1807,20.4,194.95,54.3,0.842,1.21,19.76,,-12.090000000000003,-0.25692811004188626,-14.720896343672877
(2001 SD286),2.084,0.5659,6.24,182.58,130.19,0.905,3.26,25.3,,-167.16,-2.9983028695720186,-171.7901001284404
(2001 SP287),1.929,0.4731,3.99,186.09,164.52,1.016,2.84,27.74,,44.25999999999999,1.2161397247071588,69.67967352392202
(2001 TB),1.707,0.5233,4.03,192.49,245.11,0.814,2.6,24.4,,159.57999999999998,2.9068912092468833,166.55259779352667
(2001 TD),0.9537,0.1663,9.01,13.02,241.59,0.795,1.11,25.1,,-116.16,-2.165155279829995,-124.05425952472545
(2001 TY1),2.404,0.594,5.86,9.5,342.95,0.976,3.83,25.0,,-10.370000000000005,-0.42698043078643666,-24.464176618740566
(2001 TA2),1.771,0.6474,3.26,50.35,227.4,0.625,2.92,22.0,,-68.73,-1.8259971970369007,-104.6219327929326
(2001 TC45),2.218,0.6429,15.47,35.15,67.08,0.792,3.64,19.4,,-94.26,-2.174432245459877,-124.58579050200561
(2001 TE45),1.812,0.4641,14.64,208.87,120.2,0.971,2.65,22.9,,-160.29,-2.9059436077159773,-166.49830422514563
(2001 UO),2.547,0.6736,10.08,24.09,300.5,0.832,4.26,24.1,,-169.73,-3.0344084531893225,-173.8587976865686
(2001 UP),0.8838,0.2872,7.69,25.39,133.5,0.63,1.14,25.7,,71.00999999999999,1.5262736956509473,87.44904114263397
(2001 UX4),1.721,0.7531,8.97,182.29,333.97,0.425,3.02,19.36,,34.150000000000006,1.326828519546903,76.02167430762881
(2001 UD5),2.28,0.6663,2.53,19.0,290.34,0.761,3.8,22.7,,-162.12,-2.953872448223704,-169.244424503194
(2001 UF5),2.331,0.7037,0.92,56.24,53.24,0.691,3.97,22.7,,165.43,2.992102813426657,171.43486307856705
(2001 UN16),1.8,0.4513,1.65,210.42,143.88,0.988,2.61,23.4,,-162.86,-2.935011567279816,-168.1637756272105
(2001 UT16),2.163,0.5309,7.02,210.98,190.37,1.015,3.31,25.5,,177.43,3.1122914662885024,178.32116563291368
(2001 UU16),1.728,0.4153,13.29,31.37,19.18,1.011,2.45,24.9,,27.159999999999997,0.7602010016015913,43.55630897338912
(2001 UD18),1.817,0.4459,2.79,211.96,183.37,1.007,2.63,27.6,,179.45999999999998,3.1350743614930154,179.62652937322116
(2001 VB),2.392,0.9002,9.53,306.04,224.38,0.239,4.55,18.4,,169.83999999999997,3.048209020961498,174.64951197479854
(2001 VC2),1.041,0.1321,12.51,67.04,103.86,0.904,1.18,21.29,,-68.92,-1.3312075693300398,-76.27257537848021
(2001 VD2),2.422,0.5858,6.06,226.86,194.55,1.003,3.84,25.6,,177.29000000000002,3.111764797873608,178.29098975553745
(2001 VE2),1.106,0.181,4.39,47.06,73.96,0.906,1.31,25.0,,3.469999999999999,0.07393252445313916,4.236021619912634
(2001 VJ5),1.932,0.5615,6.06,44.67,67.67,0.847,3.02,22.0,,142.43,2.7171205141680015,155.67953789024273
(2001 VM5),2.416,0.5863,5.85,231.75,168.61,0.999,3.83,25.1,,-177.55,-3.1146352805417057,-178.45545629758487
(2001 VG16),1.759,0.433,11.68,48.62,14.02,0.998,2.52,25.3,,176.01999999999998,3.093112314213837,177.22228116439578
(2001 VF75),2.092,0.5582,19.41,48.16,74.02,0.924,3.26,21.61,,160.44,2.9218706081675054,167.41085413132112
(2001 VE76),1.744,0.5147,4.17,217.54,262.22,0.846,2.64,23.6,,159.48000000000002,2.904395085196862,166.40958042031934
(2001 WH1),2.461,0.8,15.57,68.43,107.2,0.492,4.43,20.4,,166.02999999999997,3.0059510200869046,172.22830687402416
(2001 WV1),1.402,0.452,1.5,207.15,287.8,0.768,2.04,23.03,,147.14,2.7433589388187767,157.18288888380414
(2001 WJ4),1.256,0.2166,7.9,57.14,18.79,0.984,1.53,27.4,,-170.35,-3.0030753717434435,-172.06354436058007
(2001 WJ15),1.485,0.5666,8.95,239.09,88.1,0.643,2.33,23.6,,-53.150000000000006,-1.4925069754111677,-85.51435058489565
(2001 WK15),1.141,0.1368,24.51,66.33,99.92,0.985,1.3,21.34,,-15.580000000000013,-0.3142012898276893,-18.002407824693364
(2001 WM15),1.861,0.5929,5.4,244.21,250.91,0.758,2.96,25.0,,161.82,2.941902683506541,168.558607503136
(2001 WN15),2.282,0.8337,57.21,244.49,51.42,0.38,4.19,19.4,,-158.89,-2.9400469979019026,-168.45228454988703
(2001 WO15),1.805,0.4939,7.72,65.85,315.75,0.913,2.7,22.6,,151.61,2.8078746560139622,160.87936719134785
(2001 WF49),0.7521,0.3707,17.95,239.63,358.44,0.473,1.03,22.1,,-77.43,-1.7180942275454043,-98.43954804414098
(2001 WH49),1.467,0.3205,4.77,238.41,142.12,0.997,1.94,26.0,,-157.99,-2.8496804698922746,-163.2746638856846
(2001 XP),1.135,0.4654,31.47,68.81,126.01,0.607,1.66,21.39,,39.06999999999999,1.0957717375715375,62.78309587256592
(2001 XQ),3.633,0.7211,28.59,250.67,189.84,1.013,6.25,19.2,,-15.099999999999994,-0.7606826758093287,-43.58390687259276
(2001 XG1),1.999,0.6,2.98,55.79,82.26,0.799,3.2,23.2,,-28.680000000000007,-1.00802984017277,-57.75585546514665
(2001 XU4),1.02,0.1636,12.68,259.31,69.8,0.853,1.19,23.8,,6.5800000000000125,0.13722175734223796,7.862227553078554
(2001 XX4),1.006,0.5569,0.85,127.08,186.81,0.446,1.57,22.1,,136.57999999999998,2.64774897945354,151.70484173275878
(2001 XW10),2.102,0.7684,4.65,340.36,353.85,0.487,3.72,19.71,,145.12,2.794328633478953,160.1032372709027
(2001 XH16),2.113,0.6293,2.65,79.31,291.09,0.783,3.44,24.8,,-163.37,-2.963084150103147,-169.77221614301885
(2001 XP31),1.146,0.3854,6.13,241.22,81.74,0.705,1.59,22.16,,70.4,1.6137562103046819,92.46142001348437
(2001 XO88),2.503,0.6032,7.16,85.26,317.37,0.993,4.01,22.0,,-151.88,-2.833640609178887,-162.35564756282977
(2001 XX103),2.049,0.6648,6.2,80.0,84.65,0.687,3.41,23.6,,164.2,2.975646193453571,170.49196820905854
(2001 XG105),1.503,0.3347,21.96,83.29,42.9,1.0,2.01,21.96,,153.57999999999998,2.7943706843942206,160.1056466108722
(2001 YC1),1.195,0.2734,20.28,263.9,252.77,0.868,1.52,24.93,,135.85000000000002,2.52837254009014,144.86507558393657
(2001 YD1),1.489,0.4647,7.04,85.94,285.2,0.797,2.18,24.4,,-149.67000000000002,-2.777649689949205,-159.14760419991114
(2001 YE1),1.912,0.5017,4.46,65.58,98.06,0.953,2.87,20.9,,170.57999999999998,3.032036883175898,173.72291673397956
(2001 YN2),2.507,0.7152,1.63,82.61,289.88,0.714,4.3,25.4,,-167.28,-3.012007154216805,-172.5752977998326
(2001 YO2),1.294,0.6883,48.02,266.22,311.49,0.403,2.18,21.33,,134.22000000000003,2.6608666707712847,152.45643008222095
(2001 YP3),2.493,0.6225,7.93,101.93,36.27,0.941,4.05,22.0,,-167.82,-3.0104277704883753,-172.48480577796195
(2001 YV3),1.946,0.7186,5.2,107.2,244.42,0.548,3.34,20.57,,131.35000000000002,2.638778493874778,151.19087076891276
(2001 YB5),2.341,0.8638,5.55,108.21,115.49,0.319,4.36,20.74,,46.18000000000001,1.6658903720829623,95.44848745183208
(2002 AV),2.471,0.6572,2.85,123.61,286.04,0.847,4.09,20.9,,-111.52,-2.3934636789696957,-137.13536722281853
(2002 AY1),0.7792,0.4371,29.9,287.84,323.82,0.439,1.12,20.85,,-30.909999999999997,-0.8749646250709466,-50.13178023981169
(2002 AZ1),2.119,0.6666,8.14,113.58,97.15,0.706,3.53,21.4,,60.41,1.7141186967648732,98.2117669090922
(2002 AB2),0.841,0.3843,13.1,103.01,149.62,0.518,1.16,23.28,,48.0,1.1952792957311944,68.48445898476683
(2002 AS4),1.236,0.7937,26.3,285.38,42.67,0.255,2.22,22.26,,-10.430000000000007,-0.6828961630257112,-39.12706798705108
(2002 AC9),1.703,0.5603,2.28,2.41,28.64,0.749,2.66,21.23,,111.79000000000002,2.349814945199105,134.63447899667358
(2002 AO11),0.9172,0.1621,13.06,294.98,305.95,0.769,1.07,23.05,175.0,134.51999999999998,2.451065479452442,140.43570728283453
(2002 AK14),1.016,0.1057,18.02,117.35,222.35,0.909,1.12,21.5,,46.34,0.8909877316631851,51.049836622235205
(2002 AA29),0.9926,0.013,10.75,106.35,101.77,0.98,1.01,24.1,,118.57,2.0807826594253,119.22006446907704
(2002 AD29),1.757,0.4742,31.7,112.81,273.09,0.924,2.59,21.0,,-144.35,-2.715414244133816,-155.58177581857422
(2002 AE29),2.368,0.6098,3.57,118.87,305.44,0.924,3.81,24.6,,-169.25,-3.024942070849459,-173.31641393123724
(2002 AL31),1.176,0.2473,7.61,297.63,247.2,0.885,1.47,24.5,,20.55000000000001,0.470851681979547,26.977814154064077
(2002 AJ69),1.198,0.4181,27.27,116.01,227.02,0.697,1.7,21.3,,-23.319999999999993,-0.6650047764576333,-38.10196704706317
(2002 AN129),1.818,0.525,0.29,93.98,74.42,0.864,2.77,26.2,,164.27999999999997,2.9613452214731986,169.67258287164833
(2002 BM),2.548,0.6081,11.88,296.97,169.14,0.999,4.1,24.1,,-177.57,-3.115217826002191,-178.48883369384518
(2002 BJ2),2.049,0.654,26.1,16.42,61.01,0.709,3.39,17.17,,-101.8,-2.2751239735704467,-130.35500155462006
(2002 BF25),1.075,0.2215,6.31,305.77,77.89,0.837,1.31,22.62,152.0,43.28999999999999,0.9335855005425509,53.49050899569659
(2002 BG25),1.232,0.2341,48.82,316.53,239.24,0.944,1.52,20.9,,-74.58,-1.5356217508631302,-87.98464525294735
(2002 CY9),1.647,0.5074,41.97,305.28,117.38,0.811,2.48,19.2,,-62.22,-1.593216341832868,-91.2845722382956
(2002 CV11),1.555,0.3953,17.11,136.66,314.21,0.94,2.17,23.8,,-159.36,-2.882596936765998,-165.16063851403112
(2002 CW11),0.8645,0.2253,3.14,137.13,210.53,0.67,1.06,26.1,,157.49,2.81994348438089,161.57086012044056
(2002 CC14),0.8205,0.403,12.65,137.55,218.25,0.49,1.15,24.8,,-56.239999999999995,-1.3770315353765756,-78.8980952334975
(2002 CN15),1.325,0.6962,6.13,298.49,332.24,0.402,2.25,20.8,,-8.370000000000005,-0.4470672451721964,-25.615066306907295
(2002 CB19),1.283,0.4516,17.13,318.02,88.78,0.703,1.86,25.16,,-10.599999999999994,-0.3323435863007741,-19.041884843276193
(2002 CA26),2.379,0.6642,0.5,118.88,318.63,0.799,3.96,27.3,,-168.52,-3.021079848679379,-173.0951249013498
(2002 CB26),1.953,0.723,6.82,140.36,264.9,0.541,3.36,26.9,,-162.23,-2.961179733766051,-169.6631011244675
(2002 CU46),1.736,0.5649,32.17,145.24,92.74,0.755,2.72,21.1,,151.17000000000002,2.8180248721079213,161.4609317346775
(2002 CX58),2.852,0.6444,2.48,106.57,80.13,1.014,4.69,22.3,130.0,-168.57,-3.0201603353599897,-173.04244066894273
(2002 DH2),2.053,0.5396,20.89,345.3,232.11,0.945,3.16,20.3,,-168.23,-3.00802590982704,-172.34718929908894
(2002 DC3),1.7,0.4028,3.37,154.19,355.07,1.015,2.39,26.1,,-167.1,-2.9808956894695213,-170.7927421753432
(2002 DO3),1.86,0.4991,3.8,56.1,165.75,0.932,2.79,22.0,,-74.66,-1.7901982869420545,-102.57080633332964
(2002 EA),1.378,0.4231,11.29,342.48,262.83,0.795,1.96,22.57,,142.51,2.6768856079056285,153.37424757230423
(2002 EW),1.563,0.7878,6.71,15.72,24.34,0.332,2.79,20.91,,-107.66,-2.407045392624173,-137.91354209377528
(2002 EY),2.136,0.631,20.21,170.29,265.52,0.788,3.48,20.25,,55.33000000000001,1.596482525725957,91.4717107904832
(2002 EC3),1.287,0.3462,13.9,355.26,264.3,0.842,1.73,21.35,,-148.49,-2.730108904591775,-156.42371784419302
(2002 EM7),0.9209,0.3634,1.55,345.96,58.89,0.586,1.26,24.4,,-162.1,-2.9119125546045312,-166.84029968999752
(2002 EN7),1.247,0.3617,22.13,350.21,297.33,0.796,1.7,21.38,,108.72000000000003,2.1917097189042978,125.5757168110203
(2002 EW8),1.847,0.4599,11.38,176.5,328.64,0.998,2.7,23.84,,-12.0,-0.38004509273383924,-21.77497983830699
(2002 EX8),1.892,0.5483,26.07,177.36,66.69,0.855,2.93,20.9,,-164.4,-2.96541861151149,-169.90597092915306
(2002 EU11),2.397,0.6885,2.94,346.34,274.44,0.747,4.05,21.9,,165.60000000000002,2.992521215313652,171.45883574083211
(2002 EV11),2.1,0.8896,11.59,183.57,218.13,0.232,3.97,20.0,,125.77999999999997,2.6304468900862537,150.71350503525508
(2002 EW11),1.518,0.4281,3.8,169.92,66.54,0.868,2.17,24.8,,155.05,2.8352405261156686,162.44731605087884
(2002 FB),1.205,0.1865,7.04,355.68,143.44,0.98,1.43,26.6,,166.32,2.9401475439604243,168.45804541468698
(2002 FW1),0.824,0.342,6.63,164.3,223.22,0.542,1.11,24.53,,-49.56,-1.181379900770983,-67.68808231576132
(2002 FQ5),1.914,0.5896,7.55,195.94,81.09,0.786,3.04,20.64,,123.77999999999997,2.508974451138211,143.75364695637165
(2002 FT5),0.967,0.3004,28.06,7.93,31.5,0.677,1.26,21.57,,-98.88,-1.9990527989266664,-114.53728840231237
(2002 FU5),2.49,0.7017,4.24,111.53,156.62,0.743,4.24,21.0,,160.58999999999997,2.9419705921157524,168.56249837983637
(2002 FS6),1.834,0.4524,7.53,1.44,150.17,1.004,2.66,24.8,,-169.52,-3.015552058772031,-172.77840586962375
(2002 FO7),1.218,0.4464,26.02,168.34,204.59,0.674,1.76,20.16,,163.95,2.947546794415013,168.8819912372952
(2002 GQ),0.7684,0.3752,10.61,189.37,206.38,0.48,1.06,26.3,,-14.97999999999999,-0.41153738465392264,-23.579355252521708
(2002 GR),1.201,0.2075,7.33,183.76,313.82,0.952,1.45,23.2,,-162.73,-2.8915243463254674,-165.67214140377348
(2002 GG1),2.321,0.5662,5.8,8.9,213.92,1.007,3.64,23.5,,57.84,1.575691655090972,90.28048165069612
(2002 GJ1),1.997,0.5021,6.98,187.91,35.26,0.994,3.0,23.3,,171.16000000000003,3.0388179366980483,174.11144248145115
(2002 GK1),2.535,0.625,13.67,23.01,211.67,0.951,4.12,22.5,,172.85000000000002,3.0647691108761013,175.59833523526243
(2002 GM5),2.123,0.6954,7.3,14.01,274.02,0.647,3.6,21.92,,163.47000000000003,2.9710862175812487,170.230700836893
(2002 GG8),2.302,0.5725,12.39,201.77,326.86,0.984,3.62,24.7,,-169.65,-3.0266251014055903,-173.41284447889512
(2002 HP11),2.069,0.7646,5.13,9.0,90.63,0.487,3.65,20.48,,175.69,3.0989577415305947,177.55719947909654
(2002 JD9),1.056,0.4404,6.61,208.15,139.09,0.591,1.52,23.2,,3.8100000000000023,0.11861088163703302,6.795902922127738
(2002 JQ9),1.157,0.3945,25.0,51.87,76.1,0.7,1.61,19.24,,-152.77,-2.7989008172133243,-160.36520410204056
(2002 JU15),1.184,0.2138,10.73,223.31,302.66,0.931,1.44,26.2,,-134.26,-2.4754058709893108,-141.83030898959305
(2002 JR100),0.9237,0.2989,3.71,202.25,254.26,0.648,1.2,24.3,28.0,98.45999999999998,1.9913107339304832,114.09370075331509
(2002 KM3),1.265,0.3434,9.44,236.78,92.41,0.831,1.7,22.3,,-48.599999999999994,-1.1635442614906848,-66.66617546008248
(2002 KG4),2.941,0.6599,27.62,64.41,149.88,1.0,4.88,20.9,,67.62,1.8197477829943756,104.26386774386611
(2002 LK),1.104,0.1486,25.03,248.41,285.76,0.94,1.27,24.38,,-28.28,-0.5743064551273579,-32.905336025916995
(2002 LW),1.016,0.1017,11.17,250.1,126.14,0.913,1.12,22.4,,33.849999999999994,0.6525474557374286,37.38821514575454
(2002 LX),2.518,0.6687,3.24,197.43,345.41,0.834,4.2,21.22,,154.44,2.8729651214697,164.6087761485037
(2002 LY1),0.9555,0.3786,2.89,247.76,134.34,0.594,1.32,22.48,,138.61,2.6108412105564454,149.59018234371104
(2002 LG3),2.357,0.7492,6.14,182.27,174.46,0.591,4.12,19.94,,-33.06999999999999,-1.2988465286186093,-74.41842432506421
(2002 LR24),1.254,0.2028,20.0,256.41,38.62,1.0,1.51,24.3,,52.09,1.0888411323474962,62.38600144375704
(2002 LS24),2.264,0.5527,8.25,70.39,225.54,1.013,3.52,22.1,,125.79000000000002,2.5181393038192477,144.27875433485423
(2002 LZ45),2.307,0.6376,6.16,90.85,240.3,0.836,3.78,23.05,,47.66,1.4659206848384359,83.99106834216968
(2002 LX64),1.357,0.5707,4.85,285.5,230.98,0.583,2.13,21.2,,159.54000000000002,2.9135289008491485,166.9329095080459
(2002 MN),1.816,0.4995,1.05,85.29,131.6,0.909,2.72,23.7,,44.06,1.2416836555542399,71.1432329536338
(2002 MX),2.508,0.7964,1.96,284.3,237.58,0.51,4.5,21.7,,-166.25,-3.0078250073234827,-172.3356784335415
(2002 MR3),1.499,0.6176,9.72,110.22,67.38,0.573,2.42,21.92,,120.97000000000003,2.4872295334465804,142.50775494678192
(2002 MS3),2.391,0.614,21.76,105.72,240.04,0.923,3.86,19.25,,-83.12,-2.007177878094672,-115.00282114684876
(2002 MT3),2.874,0.6706,6.26,167.13,27.67,0.947,4.8,19.9,,174.51999999999998,3.084328780270904,176.71902174025587
(2002 NW),1.613,0.6688,6.06,102.59,287.75,0.534,2.69,24.2,,153.54000000000002,2.8634262987068873,164.06224186267121
(2002 NY40),2.05,0.7081,5.89,145.25,269.93,0.599,3.5,19.0,,137.20999999999998,2.698410885976858,154.60755515863116
(2002 NE71),1.915,0.5845,7.19,264.5,144.21,0.796,3.03,19.26,,69.66,1.786723228024909,102.3717001238179
(2002 OY21),1.358,0.6702,13.94,119.07,314.52,0.448,2.27,20.73,,38.47999999999999,1.3210018683540403,75.68783178558289
(2002 PB),1.072,0.3434,32.95,142.76,49.39,0.704,1.44,20.63,,-98.1,-2.0213054454703703,-115.81227113226298
(2002 PN),1.014,0.0687,9.14,309.45,107.61,0.945,1.08,24.8,,11.569999999999993,0.2167060484272747,12.41634196984046
(2002 PD11),2.225,0.8631,12.15,296.78,150.78,0.305,4.14,20.1,,167.01999999999998,3.0198584197447134,173.02514217841826
(2002 PX39),2.456,0.5939,1.8,135.3,140.65,0.998,3.92,23.4,,-155.99,-2.8775425142831375,-164.8710414378872
(2002 PE130),2.552,0.6247,15.54,357.19,34.01,0.958,4.15,18.51,,56.28,1.6065715786858645,92.04977094436987
(2002 QQ40),1.215,0.5641,1.72,104.07,356.52,0.53,1.9,21.48,,-111.61,-2.349501609015463,-134.6165261557821
(2002 QG46),2.426,0.632,8.31,345.44,268.67,0.893,3.96,19.75,,-116.5,-2.4408250711370085,-139.84897510586953
(2002 QW47),1.972,0.5182,4.22,116.23,140.93,0.95,2.99,20.79,,-14.659999999999997,-0.5078788427833552,-29.099314195474506
(2002 RT),1.503,0.7261,38.85,337.94,131.51,0.412,2.59,20.95,,2.5999999999999943,0.163738671804267,9.381534837462226
(2002 RO28),1.502,0.3311,6.19,163.02,209.07,1.005,2.0,25.4,,23.900000000000006,0.6056194824665064,34.69944033622798
(2002 RC117),2.423,0.6248,2.47,169.83,222.03,0.909,3.94,24.9,,170.17000000000002,3.0359250895031846,173.9456945464092
(2002 RZ125),1.414,0.5346,28.95,171.79,56.62,0.658,2.17,20.35,,156.23000000000002,2.8700943367569733,164.4442923005738
(2002 RS129),1.031,0.329,8.45,338.83,247.15,0.692,1.37,22.91,,-38.66999999999999,-0.9407511067747643,-53.90106799045506
(2002 RT129),1.831,0.7553,19.57,178.33,56.03,0.448,3.21,19.68,,-27.939999999999998,-1.1883889065197202,-68.08966876374689
(2002 RB182),2.545,0.6504,0.23,165.51,254.3,0.89,4.2,23.1,,167.43,3.008507840915829,172.3748019164927
(2002 SQ41),2.614,0.7989,25.1,21.51,96.08,0.526,4.7,20.26,,-16.610000000000014,-0.9305996365119008,-53.319431588540425
(2002 TV55),2.905,0.6528,11.18,186.55,255.49,1.008,4.8,21.0,,66.44,1.7959237801552237,102.89885293007501
(2002 TX55),2.236,0.5721,4.39,190.06,149.02,0.957,3.52,23.87,,161.49,2.935567262671814,168.19561462786686
(2002 TZ57),1.211,0.2376,16.08,7.91,290.47,0.923,1.5,24.6,,-132.51,-2.4620521128689505,-141.06519500865787
(2002 TA58),2.508,0.6269,1.69,192.09,217.85,0.936,4.08,26.8,,172.76999999999998,3.0639996233228244,175.5542468460718
(2002 TY59),1.018,0.2329,6.61,9.67,259.43,0.781,1.26,25.5,,73.82,1.5210135120508013,87.14765482288169
(2002 TZ59),2.62,0.8434,16.53,7.38,249.75,0.41,4.83,23.39,,-168.05,-3.0283394777980726,-173.51107101068123
(2002 TA60),1.153,0.5222,28.2,11.72,233.68,0.551,1.76,20.92,,126.18,2.5104076438327803,143.83576284899948
(2002 TG66),1.896,0.5413,4.72,174.28,140.32,0.87,2.92,23.9,,-162.04,-2.937723201610532,-168.31914082994334
(2002 TZ66),0.9297,0.1207,8.48,12.91,223.29,0.817,1.04,25.9,,-129.01,-2.3384942819648353,-133.98585277206098
(2002 TA67),1.159,0.3567,30.09,191.3,86.25,0.745,1.57,22.8,,-124.7,-2.413729461855394,-138.2965110506975
(2002 TA69),2.276,0.5846,38.65,28.23,48.07,0.945,3.61,18.54,,71.97,1.8223188079672892,104.41117662383681
(2002 TB70),1.133,0.1318,16.66,195.02,350.88,0.984,1.28,21.6,,74.97,1.4391325907232684,82.45622360817134
(2002 UQ12),1.761,0.6987,2.86,190.08,310.15,0.531,2.99,22.39,,112.60000000000002,2.424450002233483,138.91075276846158
(2002 UV36),2.456,0.5986,2.87,32.56,356.15,0.986,3.93,26.5,,176.48000000000002,3.103158240008064,177.79787031370665
(2002 VR14),1.628,0.4995,5.53,76.19,44.31,0.815,2.44,22.4,,-175.88,-3.0936321679671503,-177.2520665904247
(2002 VS14),1.009,0.3022,23.54,42.4,227.0,0.704,1.31,21.8,,-167.69,-2.976428584657543,-170.53679592297428
(2002 VU17),2.47,0.616,1.5,55.68,308.76,0.949,3.99,24.9,,-168.85,-3.0210580802261395,-173.09387766085266
(2002 VO69),1.44,0.3487,20.94,47.39,55.66,0.938,1.94,22.9,,151.89,2.7757298225310723,159.03760389962747
(2002 VR85),1.814,0.604,6.03,204.42,299.32,0.719,2.91,20.32,,-60.43000000000001,-1.6564863062243482,-94.90967416787042
(2002 VS85),1.441,0.5621,24.78,230.44,275.72,0.631,2.25,24.1,,148.14,2.7828712897059154,159.44677982827716
(2002 VX91),0.9841,0.2013,2.34,216.39,78.77,0.786,1.18,24.3,,119.35000000000002,2.240829603742223,128.39007890240202
(2002 VY91),2.328,0.5812,3.4,228.43,155.58,0.975,3.68,26.3,,-171.9,-3.052140987371166,-174.8747970552597
(2002 VZ91),1.577,0.3848,3.49,49.07,328.76,0.97,2.18,26.1,,-165.1,-2.9534931982588493,-169.22269508082735
(2002 VU114),1.18,0.2857,2.77,352.78,151.27,0.843,1.52,22.8,,97.22000000000003,1.9610302060394469,112.35875430373056
(2002 WX12),1.754,0.6587,8.7,211.44,328.76,0.599,2.91,20.05,,111.25999999999999,2.391090662010892,136.9994033663661
(2002 XB),0.9061,0.2376,25.54,245.86,351.29,0.691,1.12,21.88,,-113.7,-2.179380276525851,-124.86929179898556
(2002 XT4),1.609,0.4225,7.51,67.25,313.31,0.929,2.29,24.0,,-71.59,-1.6699077837826086,-95.67866818678829
(2002 XO14),2.783,0.6476,2.62,295.31,184.91,0.981,4.59,22.1,,148.94,2.810197933675612,161.0124811959974
(2002 XS14),2.008,0.4979,4.49,255.11,189.16,1.008,3.01,24.2,,-159.91,-2.9067920003689998,-166.54691354353372
(2002 XM35),2.326,0.8381,3.06,229.96,312.64,0.377,4.28,23.76,,166.95,3.017534134981075,172.8919704710753
(2002 XB40),1.856,0.5538,6.8,255.87,117.96,0.828,2.88,23.9,,-161.7,-2.9355163852135284,-168.19269956423477
(2002 XF40),1.681,0.4264,10.11,74.99,326.5,0.964,2.4,24.9,,-165.91,-2.968932709502998,-170.10731391286185
(2002 XO40),2.481,0.5945,49.21,260.51,143.35,1.006,3.96,20.7,,143.16000000000003,2.7341768408511884,156.65679342318566
(2002 XE84),2.63,0.636,27.93,73.5,54.97,0.957,4.3,21.3,,-45.06,-1.4147140637328959,-81.0571450696967
(2002 XQ90),2.174,0.5734,3.26,281.75,116.61,0.927,3.42,22.5,,-110.88,-2.34513524385115,-134.36635186005404
(2002 XS90),0.8098,0.2418,34.17,81.65,178.65,0.614,1.01,22.8,,175.48000000000002,3.0780564831303803,176.35964558625187
(2002 XT90),1.03,0.2239,43.39,287.66,43.06,0.799,1.26,19.06,,-97.74,-1.9165355700194386,-109.80939944881331
(2002 XV90),1.581,0.3772,9.97,79.16,356.08,0.985,2.18,25.28,,-172.61,-3.047901459751093,-174.6318900155004
(2002 YG4),1.463,0.3093,9.73,283.64,177.5,1.011,1.92,24.0,,154.89,2.8053822688560985,160.73656392628965
(2002 YC12),1.717,0.4388,11.47,99.51,32.79,0.963,2.47,25.3,,169.08999999999997,3.009131403861329,172.41052944153057
(2003 AB23),1.555,0.4233,13.37,113.37,257.74,0.897,2.21,20.22,,152.95999999999998,2.808186333398636,160.89722499005933
